shapeName,shapeISO,shapeID,shapeGroup,shapeType,COORD_X,COORD_Y
Abim, ,29229248B2720911975926,UGA,ADM2,33.753086270778049,2.702986834396110
Adjumani, ,29229248B5864304727943,UGA,ADM2,31.769653805527792,3.223490863715623
Agago, ,29229248B46383558561496,UGA,ADM2,33.346058093884075,2.910127498263039
Alebtong, ,29229248B1604569270541,UGA,ADM2,33.255708152509484,2.266683583132133
Amolatar, ,29229248B8101446493380,UGA,ADM2,32.735882583496988,1.619869442143394
Amudat, ,29229248B1143223927588,UGA,ADM2,34.876328754387913,1.802769507645736
Amuria, ,29229248B50432613190684,UGA,ADM2,33.638020279445719,2.007912438708610
Amuru, ,29229248B81774603915828,UGA,ADM2,31.974608568842051,3.051434447342441
Apac, ,29229248B63806553713105,UGA,ADM2,32.429403671786801,1.870617404649910
Arua, ,29229248B34609897714136,UGA,ADM2,31.052664855116124,3.040948369763389
Budaka, ,29229248B89330719541827,UGA,ADM2,33.988565873159907,1.059667844809981
Bududa, ,29229248B13626501755112,UGA,ADM2,34.407862982049672,1.031983731838280
Bugiri, ,29229248B62540807038503,UGA,ADM2,33.774453419070099,0.531284509612284
Bugweri, ,29229248B83476152675649,UGA,ADM2,33.605582086402400,0.626749864330596
Buhweju, ,29229248B22135856200006,UGA,ADM2,30.350177005812366,-0.328909331572959
Buikwe, ,29229248B63251849161681,UGA,ADM2,33.040399036293245,0.305759286274394
Bukedea, ,29229248B26940059554926,UGA,ADM2,34.124310064197104,1.362279392557603
Bukomansimbi, ,29229248B13300576691284,UGA,ADM2,31.628256298487926,-0.129708362868247
Bukwo, ,29229248B20465483031755,UGA,ADM2,34.686324007726981,1.278515866318471
Bulambuli, ,29229248B90004107496301,UGA,ADM2,34.359709881370456,1.364461691113844
Buliisa, ,29229248B55094925830148,UGA,ADM2,31.391653159022134,1.959891437357625
Bundibugyo, ,29229248B56318810635210,UGA,ADM2,30.056227427336729,0.695553772725875
Bunyangabu, ,29229248B9096721861030,UGA,ADM2,30.172526806756391,0.494828342787956
Bushenyi, ,29229248B25342856602730,UGA,ADM2,30.151847903490108,-0.483757934648571
Busia, ,29229248B62469041977713,UGA,ADM2,34.005345679891747,0.411841831854164
Butaleja, ,29229248B73068214563818,UGA,ADM2,33.934058286273043,0.883571599191315
Butambala, ,29229248B2587295633298,UGA,ADM2,32.074711055301307,0.153687972909270
Butebo, ,29229248B68807581008471,UGA,ADM2,33.984289471764129,1.182228242859235
Buvuma, ,29229248B90998232627025,UGA,ADM2,33.208879643938928,-0.391682839234076
Buyende, ,29229248B78054244522655,UGA,ADM2,33.146868752774772,1.260502277443612
Dokolo, ,29229248B79330670222430,UGA,ADM2,33.075897228867923,1.937342046177769
Gomba, ,29229248B29056640294913,UGA,ADM2,31.702653217013882,0.195672504903236
Gulu, ,29229248B3774786432651,UGA,ADM2,32.395096358131653,2.974827460894080
Hoima, ,29229248B20297924486432,UGA,ADM2,31.213884891614075,1.581839824136047
Ibanda, ,29229248B20279559195059,UGA,ADM2,30.489528539063109,-0.079168625440608
Iganga, ,29229248B77191028140071,UGA,ADM2,33.478933430785233,0.727231244546908
Isingiro, ,29229248B90999322284724,UGA,ADM2,30.877652133371061,-0.853238961405935
Jinja, ,29229248B21272430333619,UGA,ADM2,33.212716400528954,0.565490194018615
Kaabong, ,29229248B24614018399418,UGA,ADM2,34.155629524402173,3.543350045688664
Kabale, ,29229248B73449810909535,UGA,ADM2,30.017678801432936,-1.330880614651769
Kabarole, ,29229248B26462887216705,UGA,ADM2,30.334578255463441,0.635942758427056
Kaberamaido, ,29229248B10176116389462,UGA,ADM2,33.128513954606397,1.694386137111454
Kagadi, ,29229248B17883555263443,UGA,ADM2,30.810550326803380,1.014703126247607
Kakumiro, ,29229248B58267518277021,UGA,ADM2,31.298442454486938,0.984640543999278
Kalaki, ,29229248B61547386523373,UGA,ADM2,33.336278281226569,1.835000167666331
Kalangala, ,29229248B37967946440529,UGA,ADM2,32.441781446412087,-0.578506531260541
Kaliro, ,29229248B95132583956705,UGA,ADM2,33.483347607902019,1.067591366531911
Kalungu, ,29229248B50840725648789,UGA,ADM2,31.802663310999996,-0.102091034460481
Kampala, ,29229248B61443937474361,UGA,ADM2,32.596960387801388,0.315722449098182
Kamuli, ,29229248B80079273075066,UGA,ADM2,33.107490423448660,0.937092467853909
Kamwenge, ,29229248B47739325787242,UGA,ADM2,30.558415238764365,0.315742102972197
Kanungu, ,29229248B90695927334734,UGA,ADM2,29.725847923670656,-0.810181399878901
Kapchorwa, ,29229248B89327387013727,UGA,ADM2,34.430035207803947,1.344533185688011
Kapelebyong, ,29229248B4424738078585,UGA,ADM2,33.743878735337979,2.213390524341530
Karenga, ,29229248B13539566883627,UGA,ADM2,33.788198546283219,3.728054015484489
Kasese, ,29229248B54726997264778,UGA,ADM2,30.001875572207958,0.117655488213920
Kassanda, ,29229248B48266096313032,UGA,ADM2,31.754802975528424,0.538224178997161
Katakwi, ,29229248B27280016310707,UGA,ADM2,34.038131420470528,1.922236862668479
Kayunga, ,29229248B1590665015395,UGA,ADM2,32.892544323795157,0.981911931593711
Kazo, ,29229248B84568196619698,UGA,ADM2,30.792383251742312,0.041518727654631
Kibaale, ,29229248B33642935601226,UGA,ADM2,31.067351060344468,0.802205386760932
Kiboga, ,29229248B63728561504981,UGA,ADM2,31.956647728469907,0.840237389481626
Kibuku, ,29229248B49651029355211,UGA,ADM2,33.801121780771844,1.053442654038860
Kikuube, ,29229248B42209405373330,UGA,ADM2,30.950213159855739,1.308017856881641
