Region1,Region2,GeoDist_km,DeltaPfPR,GenDist_Nei
Karamoja,South Buganda,384.0389693065637,0.257120609,1.0394982938971468e-4
Karamoja,North Buganda,289.4220537593367,0.19773905,3.003867435856489e-4
Karamoja,Kigezi,601.832809082742,0.300717108,7.879184821923792e-4
Karamoja,Lango,167.10709593049236,0.01636183200000002,0.0022264003443002926
Karamoja,Teso,110.26255760654585,0.013724595000000006,8.008376904755452e-4
Karamoja,Tooro,479.0743754410652,0.229417905,7.492392495777155e-6
Karamoja,West Nile,325.5152339349899,0.133942872,1.1576598287764894e-4
Kigezi,South Buganda,241.22636342339132,0.04359649900000001,0.0014646651272314853
Kigezi,North Buganda,324.2572181852467,0.10297805800000001,0.002062304993722706
Kigezi,Lango,443.49872896185576,0.284355276,0.00567078162629415
Kigezi,Teso,499.89274640823254,0.286992513,0.0031799878551179196
Kigezi,Tooro,150.3125345335637,0.071299203,6.416944537813819e-4
Kigezi,West Nile,424.13207242132125,0.16677423600000002,0.0015081737866759046
Lango,South Buganda,249.81083528325098,0.24075877699999998,0.0013675400748485215
Lango,North Buganda,161.78793557097134,0.18137721799999998,8.904773827553264e-4
Lango,Teso,101.76499199968585,0.0026372370000000145,3.5619246227520257e-4
Lango,Tooro,313.6824155424321,0.21305607299999998,0.0024925253626790858
Lango,West Nile,191.64171776638983,0.11758103999999997,0.0013261276655269615
Teso,Tooro,387.036386658037,0.21569331,9.633265198318845e-4
Teso,West Nile,292.3928810240065,0.12021827699999998,3.075444434790628e-4
Tooro,West Nile,273.8270843136336,0.09547503300000001,1.821658350566567e-4
