Region1,Region2,GeoDist_km,DeltaPfPR,GenDist_Nei
Acholi,Ankole,407.2612448524914,0.29738902300000003,0.0037083516884501115
Acholi,Bugishu,263.82921228243447,0.211106077,0.0013152965852415268
Acholi,Bukedi,249.9651844520051,0.14605027400000004,1.2864266492023836e-6
Acholi,Bunyoro,195.16856212396226,0.139023632,6.389423459990203e-4
Acholi,Busoga,270.8510582122886,0.08147865500000001,4.095484999170925e-5
Acholi,South Buganda,326.1947153997495,0.269383967,8.416596457894546e-4
Acholi,North Buganda,245.78225075724419,0.210002408,4.7845642914577175e-4
Acholi,Kampala,256.48271982593207,0.31372346,5.672436346284322e-4
Acholi,Karamoja,183.48162586887102,0.012263358000000002,0.0015376399362412487
Acholi,Kigezi,491.17883984233043,0.312980466,0.00453194742265
Acholi,Lango,91.13655724963355,0.028625190000000023,6.343518141603491e-5
Acholi,Teso,171.17031856623714,0.025987953000000008,1.1897620278805747e-4
Acholi,Tooro,348.5501838733066,0.241681263,0.0017599894944513345
Acholi,West Nile,142.58012835493565,0.14620623,8.092481892865151e-4
Ankole,Bugishu,460.46785035942435,0.08628294600000001,6.052593988821814e-4
Ankole,Bukedi,397.7998022680187,0.151338749,0.003848042247141015
Ankole,Bunyoro,217.16954672616106,0.15836539100000002,0.0012667551004999647
Ankole,Busoga,340.60407901528555,0.21591036800000002,0.004530497832249966
Ankole,South Buganda,155.78547756746218,0.028005056000000014,0.0010148488948409245
Ankole,North Buganda,234.3888964899051,0.08738661500000001,0.0015207338033075436
Ankole,Kampala,240.49541215809657,0.016334436999999993,0.0013728846921604641
Ankole,Karamoja,511.58729685091527,0.28512566500000003,4.6905145799817704e-4
Ankole,Kigezi,90.58062935924183,0.015591442999999996,4.109246914282548e-5
Ankole,Lango,354.8114043007101,0.268763833,0.00474412249916844
Ankole,Teso,409.3124917747361,0.27140107,0.002497200517226778
Ankole,Tooro,92.793717059214,0.05570776000000001,3.579592653810399e-4
Ankole,West Nile,354.74449797700237,0.15118279300000004,0.0010511105234183272
Bugishu,Bukedi,63.57385010806838,0.06505580299999997,0.001398909234267669
Bugishu,Bunyoro,336.95735776800024,0.072082445,1.2066301400271304e-4
Bugishu,Busoga,128.11020648083317,0.129627422,0.0018208629466559324
Bugishu,South Buganda,311.57412753584305,0.05827789,5.2589039975724236e-5
Bugishu,North Buganda,226.33654463692187,0.0011036690000000016,2.07004811300389e-4
Bugishu,Kampala,220.15605602871548,0.102617383,1.5487214612448476e-4
Bugishu,Karamoja,141.92905218288018,0.198842719,8.665016312090155e-6
Bugishu,Kigezi,549.8158743582817,0.10187438900000001,9.619182822876013e-4
Bugishu,Lango,195.43674822831548,0.18248088699999998,0.001957003481007935
Bugishu,Teso,94.62442564557595,0.185118124,6.428445574563897e-4
Bugishu,Tooro,454.0271651375922,0.030575186000000004,3.2272469888572935e-5
Bugishu,West Nile,386.77108918672013,0.06489984700000001,6.108511032105884e-5
Bukedi,Bunyoro,287.36866687263176,0.007026642000000027,6.975882043488667e-4
Bukedi,Busoga,65.95688828202252,0.06457161900000002,2.772413213775699e-5
Bukedi,South Buganda,248.05163704829585,0.12333369299999997,9.087858156148912e-4
Bukedi,North Buganda,164.36291667546757,0.06395213399999997,5.293745005410221e-4
Bukedi,Kampala,157.30563311556529,0.16767318599999997,6.225734442651758e-4
Bukedi,Karamoja,175.97411099976927,0.13378691600000003,0.0016279496087610915
Bukedi,Kigezi,486.8237557499943,0.16693019199999998,0.004686301459397419
Bukedi,Lango,167.61802956769264,0.11742508400000001,4.665412177577842e-5
