term,estimate,std_error,t_value,p_lm,perm_p,R2
(Intercept),0.0010443502285001959,1.0928902281738197e-4,9.555856586303893,7.834745181452065e-16,NA,0.2361403696649016
geo_km,4.2097266868957353e-4,1.2096441446220452e-4,3.480136456338628,7.38740660214762e-4,0.02,NA
dPfPR,3.0739457827164325e-4,1.2096441446220452e-4,2.541198414742784,0.012552956568119234,0.0501,NA
