Side,n_pairs,slope,slope_se,slope_p,r2,ci_low,ci_high
North,15,-0.0018914138051170928,0.0034817976860998644,0.5961643060702926,0.022195989282989607,-0.009530103271218332,0.0034212485406511415
South,36,0.017199818321038965,0.0051005718928154725,0.0018730843439935128,0.2506275367100869,0.007332797575954977,0.029389697195572714
