term,estimate,std_error,t_value,p_lm,perm_p
(Intercept),0.0010443502285001959,1.1034811119217496e-4,9.464142314873198,1.2500608958120992e-15,NA
geo_z,3.932298105873917e-4,1.24778613813417e-4,3.151419931426655,0.0021332182717180466,0.0336
malariaDiff_z,3.035657381493894e-4,1.24778613813417e-4,2.43283467312207,0.016721886452201688,0.0565
R2,0.22126394930139365,NA,NA,NA,0.0038
