District,n_ind,S_count,N_alleles,pS_raw,EB_pS,malaria
Mpigi,1143,138,2286,0.060367454,0.932078487,0.115556687
Mubende,2132,246,4264,0.057692308,0.825646596,0.190857008
Mukono,1668,236,3336,0.070743405,1,0.174306139
Nabilatuk,NA,NA,NA,0.01,NA,NA
Nakapiripirit,64,4,128,0.03125,0.795815279,0.293703824
Nakaseke,646,98,1292,0.075851393,1,0.18730478
Nakasongola,605,122,1210,0.100826446,1,0.245926067
Namayingo,838,191,1676,0.113961814,1,0.392746449
Namisindwa,100,21,200,0.105,1,0.193293631
Namutumba,409,91,818,0.111246944,1,0.251760453
Napak,202,19,404,0.047029703,0.812667615,0.457980424
Nebbi,910,183,1820,0.100549451,1,0.361444652
Ngora,309,68,618,0.110032362,1,0.358920187
Ntoroko,312,38,624,0.060897436,0.832509951,0.16701591
Ntungamo,1413,59,2826,0.020877565,0.291398969,0.075089157
Nwoya,632,147,1264,0.116297468,1,0.398072928
Obongi,NA,NA,NA,0.015,NA,NA
Omoro,100,26,200,0.13,1,0.433852196
Otuke,531,121,1062,0.11393597,1,0.41425997
Oyam,1082,237,2164,0.109519409,1,0.440162748
Pader,767,153,1534,0.099739244,1,0.426443756
Pakwach,98,16,196,0.081632653,1,0.323648453
Pallisa,412,69,824,0.083737864,1,0.277752072
Rakai,2323,380,4646,0.081790788,1,0.121387377
Rubanda,100,1,200,0.005,0.189765115,0.062403321
Rubirizi,459,45,918,0.049019608,0.517272517,0.127179846
Rukiga,100,13,200,0.065,0.493764869,0.061533619
Rukungiri,1291,49,2582,0.018977537,0.268699766,0.102397509
Rwampara,NA,NA,NA,0.014,NA,NA
Serere,551,115,1102,0.104355717,1,0.30030942
Sheema,1002,47,2004,0.023453094,0.324505111,0.0934688
Sironko,350,44,700,0.062857143,0.859577189,0.205888763
Soroti,983,184,1966,0.093591048,1,0.362561047
Ssembabule,601,56,1202,0.046589018,0.683417248,0.173350126
Tororo,1438,321,2876,0.111613352,1,0.213077486
Wakiso,4413,589,8826,0.066734648,0.990871026,0.122233458
Yumbe,312,32,624,0.051282051,0.763056478,0.220054686
Zombo,409,50,818,0.061124694,0.974238671,0.332461238
