CAP1,MDS1,SubRegion
0.04194547467681667,0.011016085329184305,Acholi
-0.07079074558526079,-0.028823361826021566,Ankole
-0.014308068844760399,-0.026619344430087025,Bugishu
0.0455054855145392,0.026607073951515108,Bukedi
-0.0025799938889545285,0.005080750474310485,Bunyoro
0.06473475184440036,0.03305502755381366,Busoga
-0.0010548256927289238,0.032423573792897765,Kampala
-0.018082751994138502,-0.07329255787928302,Karamoja
-0.0997571263612157,-0.05081524130051238,Kigezi
0.07138321634571747,0.04370542415106035,Lango
0.0010461519449458223,0.009103956412186672,North Buganda
-0.006391412152437062,0.019349150067933574,South Buganda
0.016227099213539417,-0.030280626485059532,Teso
-0.022060768531568985,0.0171420181180876,Tooro
-0.00581648648889406,0.01234807206997405,West Nile
