Term,Estimate,P_value
(Intercept),-3.020461775928161e-4,0.9738973897389739
XGeoDist_km,3.428403870186424e-6,0.020902090209020903
XDeltaPfPR,0.0034690854141972496,0.048804880488048805
R2,0.23614036966490184,0.003000300030003
