Region1,Region2,GenDist,GeoDist_km
Acholi,Ankole,0.0037083516884501115,407.2612448524914
Acholi,Bugishu,0.0013152965852415268,263.82921228243447
Acholi,Bukedi,1.2864266492023836e-6,249.9651844520051
Acholi,Bunyoro,6.389423459990203e-4,195.16856212396226
Acholi,Busoga,4.095484999170925e-5,270.8510582122886
Acholi,Kampala,5.672436346284322e-4,256.48271982593207
Acholi,Karamoja,0.0015376399362412487,183.48162586887102
Acholi,Kigezi,0.00453194742265,491.17883984233043
Acholi,Lango,6.343518141603491e-5,91.13655724963355
Acholi,North Buganda,4.7845642914577175e-4,245.78225075724419
Acholi,South Buganda,8.416596457894546e-4,326.1947153997495
Acholi,Teso,1.1897620278805747e-4,171.17031856623714
Acholi,Tooro,0.0017599894944513345,348.5501838733066
Acholi,West Nile,8.092481892865151e-4,142.58012835493565
Ankole,Bugishu,6.052593988821814e-4,460.46785035942435
Ankole,Bukedi,0.003848042247141015,397.7998022680187
Ankole,Bunyoro,0.0012667551004999647,217.16954672616106
Ankole,Busoga,0.004530497832249966,340.60407901528555
Ankole,Kampala,0.0013728846921604641,240.49541215809657
Ankole,Karamoja,4.6905145799817704e-4,511.58729685091527
Ankole,Kigezi,4.109246914282548e-5,90.58062935924183
Ankole,Lango,0.00474412249916844,354.8114043007101
Ankole,North Buganda,0.0015207338033075436,234.3888964899051
Ankole,South Buganda,0.0010148488948409245,155.78547756746218
Ankole,Teso,0.002497200517226778,409.3124917747361
Ankole,Tooro,3.579592653810399e-4,92.793717059214
Ankole,West Nile,0.0010511105234183272,354.74449797700237
Bugishu,Bukedi,0.001398909234267669,63.57385010806838
Bugishu,Bunyoro,1.2066301400271304e-4,336.95735776800024
Bugishu,Busoga,0.0018208629466559324,128.11020648083317
Bugishu,Kampala,1.5487214612448476e-4,220.15605602871548
Bugishu,Karamoja,8.665016312090155e-6,141.92905218288018
Bugishu,Kigezi,9.619182822876013e-4,549.8158743582817
Bugishu,Lango,0.001957003481007935,195.43674822831548
Bugishu,North Buganda,2.07004811300389e-4,226.33654463692187
Bugishu,South Buganda,5.2589039975724236e-5,311.57412753584305
Bugishu,Teso,6.428445574563897e-4,94.62442564557595
Bugishu,Tooro,3.2272469888572935e-5,454.0271651375922
Bugishu,West Nile,6.108511032105884e-5,386.77108918672013
Bukedi,Bunyoro,6.975882043488667e-4,287.36866687263176
Bukedi,Busoga,2.772413213775699e-5,65.95688828202252
Bukedi,Kampala,6.225734442651758e-4,157.30563311556529
Bukedi,Karamoja,0.0016279496087610915,175.97411099976927
Bukedi,Kigezi,0.004686301459397419,486.8237557499943
Bukedi,Lango,4.665412177577842e-5,167.61802956769264
Bukedi,North Buganda,5.293745005410221e-4,164.36291667546757
Bukedi,South Buganda,9.087858156148912e-4,248.05163704829585
Bukedi,Teso,1.4500743526214106e-4,84.81712307456013
Bukedi,Tooro,0.0018565293897979962,395.1617981448951
Bukedi,West Nile,8.750931151154845e-4,356.7402704957451
Bunyoro,Busoga,0.0010035888046305964,260.2096088437076
Bunyoro,Kampala,2.131577314727809e-6,175.7843157965482
Bunyoro,Karamoja,1.940041417283087e-4,334.53163546286527
Bunyoro,Kigezi,0.00176455772488695,297.30285097336036
Bunyoro,Lango,0.0011052484642223035,167.4551064367286
Bunyoro,North Buganda,1.1578510815662957e-5,160.36358731719181
Bunyoro,South Buganda,1.393299692559685e-5,186.61584836572956
Bunyoro,Teso,2.064309901356375e-4,255.25141873143718
Bunyoro,Tooro,2.77758162241075e-4,153.52341054658666
Bunyoro,West Nile,1.004154273643333e-5,148.50162549142024
Busoga,Kampala,9.131745691308208e-4,103.17523357792079
Busoga,Karamoja,0.0020810090456374916,234.80820336752015
Busoga,Kigezi,0.005436887728761476,428.083884270463
Busoga,Lango,2.4491720389060057e-6,180.63070163996014
Busoga,North Buganda,7.994882987944886e-4,114.04900520101542
Busoga,South Buganda,0.0012541696417779277,187.21260980376195
Busoga,Teso,2.995607404071823e-4,130.39569460158137
Busoga,Tooro,0.0023385274537908213,347.95790458864207
Busoga,West Nile,0.0012145266236508706,355.0275278572664
Kampala,Karamoja,2.3681164664200946e-4,290.75514751953597
Kampala,Kigezi,0.0018894640017247065,329.65982036316774
Kampala,Lango,0.0010102552904622771,170.55554708217545
Kampala,North Buganda,3.7741766687512092e-6,15.472946015370297
Kampala,South Buganda,2.6964126708807314e-5,94.50965325121481
Kampala,Teso,1.6660559257241663e-4,181.2549607151183
Kampala,Tooro,3.2856242457691314e-4,245.09245872836306
Kampala,West Nile,2.142618080372553e-5,298.6389412795244
Karamoja,Kigezi,7.879184821923792e-4,601.832809082742
Karamoja,Lango,0.0022264003443002926,167.10709593049236
Karamoja,North Buganda,3.003867435856489e-4,289.4220537593367
Karamoja,South Buganda,1.0394982938971468e-4,384.0389693065637
Karamoja,Teso,8.008376904755452e-4,110.26255760654585
Karamoja,Tooro,7.492392495777155e-6,479.0743754410652
Karamoja,West Nile,1.1576598287764894e-4,325.5152339349899
Kigezi,Lango,0.00567078162629415,443.49872896185576
Kigezi,North Buganda,0.002062304993722706,324.2572181852467
Kigezi,South Buganda,0.0014646651272314853,241.22636342339132
Kigezi,Teso,0.0031799878551179196,499.89274640823254
Kigezi,Tooro,6.416944537813819e-4,150.3125345335637
Kigezi,West Nile,0.0015081737866759046,424.13207242132125
Lango,North Buganda,8.904773827553264e-4,161.78793557097134
Lango,South Buganda,0.0013675400748485215,249.81083528325098
Lango,Teso,3.5619246227520257e-4,101.76499199968585
Lango,Tooro,0.0024925253626790858,313.6824155424321
