district,AA,AS,SS,n_ind,het_prop,p_exact,p_fdr,HWE_flag_exact
Rubanda,99,1,0,100,0.01,1,1,FALSE
Rubirizi,419,35,5,459,0.07625272331154684,0.002715489451132139,0.1737913248724569,FALSE
Rukiga,87,13,0,100,0.13,0.9999999999999999,1,FALSE
Rukungiri,1242,49,0,1291,0.037955073586367155,1,1,FALSE
Sembabule,89,11,0,100,0.11,0.9999999999999999,1,FALSE
Serere,447,93,11,551,0.16878402903811252,0.03570803782429136,0.47869422183056154,FALSE
Sheema,956,45,1,1002,0.04491017964071856,0.4243681086279715,0.8904773426947599,FALSE
Sironko,312,32,6,350,0.09142857142857143,0.0010355891639858537,0.13255541299018928,FALSE
Soroti,812,158,13,983,0.1607324516785351,0.1281678325808953,0.7956808409587008,FALSE
Ssembabule,546,54,1,601,0.08985024958402663,1,1,FALSE
Tororo,1138,279,21,1438,0.19401947148817802,0.42366408842057157,0.8904773426947599,FALSE
Wakiso,3843,551,19,4413,0.12485837298889645,1,1,FALSE
Yumbe,280,32,0,312,0.10256410256410256,0.9999999999999999,1,FALSE
Zombo,360,48,1,409,0.11735941320293398,0.9999999999999999,1,FALSE
